Time,Packet (Hexadecimal),RSSI,SNR
29-01-2025 17:57:37,0xa6 0xe6 0x2 0x3f 0xc8 0xdf 0x7b 0x73 0x3d 0xba 0xe1 0x60 0xbe 0xec 0x35 0xf6 0xda 0x6c 0xd8 0x8e 0x64,-120,3.5
29-01-2025 17:57:37,0x10 0xb4 0x54 0x6d 0x9a 0x8d 0x29 0x21 0x6f 0xe8 0xb3 0x32 0xec 0xbe 0x67 0x44 0x88 0xd1 0xf 0x64 0x7a,-124,1.25
29-01-2025 17:57:37,0xe5 0x29 0xcf 0xf0 0x7 0x10 0xb4 0xbc 0xf2 0x75 0x2e 0xaf 0x71 0x23 0xf0 0x3b 0x15 0x2b 0x81 0xf1 0x51,-121,3.75
29-01-2025 17:57:37,0xbc 0xe0 0x38 0x39 0xce 0xd9 0x7d 0x75 0x3b 0xbc 0xe7 0x66 0xb8 0xea 0xb 0xf0 0xdc 0xdc 0x9e 0x32 0x6b,-123,0.25
29-01-2025 17:57:38,0x5 0x49 0x43 0x90 0x95 0x70 0xd4 0xdc 0x92 0x15 0x4e 0xcf 0x11 0x43 0x90 0x5b 0x75 0xdb 0x34 0x26 0x5,-125,-2.5
29-01-2025 17:57:38,0x31 0x55 0xb3 0x8c 0x7b 0x6c 0xc8 0xc0 0x8e 0x9 0x52 0xd3 0xd 0x5f 0x84 0x67 0x69 0x95 0xab 0x89 0x61,-126,-7.5
29-01-2025 17:57:45,0x64 0xa8 0x40 0x71 0x86 0x91 0x35 0x3d 0x73 0xf4 0xaf 0x2e 0xf0 0xa2 0x73 0xb8 0x94 0x18 0x3a 0x18 0xda,-120,2.25
29-01-2025 17:57:45,0x41 0x85 0x63 0x5c 0xab 0xbc 0x18 0x10 0x5e 0xd9 0x82 0x3 0xdd 0x8f 0x54 0x97 0xb9 0x80 0x66 0xae 0xea,-123,0.75
29-01-2025 17:57:45,0x80 0xc4 0xf8 0x1d 0x18 0xfd 0x59 0x51 0x1f 0x98 0xc3 0x42 0x9c 0xce 0x17 0xd4 0xf8 0xa2 0xe0 0xa2 0x72,-126,-2.25
29-01-2025 17:57:45,0x79 0x9d 0x7b 0x44 0xb3 0xa4 0x0 0x8 0x46 0xc1 0x9a 0x1b 0xc5 0x97 0x4c 0xaf 0xa1 0xce 0x14 0x77 0x92,-119,4.25
29-01-2025 17:57:46,0xb5 0xd9 0x3f 0x0 0xf7 0xe0 0x44 0x4c 0x2 0x85 0xde 0x5f 0x81 0xd3 0x0 0xeb 0xe5 0x4 0x9c 0x55 0x8d,-124,-0.5
29-01-2025 17:57:47,0x1e 0xbe 0x5a 0x67 0x90 0x87 0x23 0x2b 0x65 0xe2 0xb9 0x38 0xe6 0xb4 0x6d 0x4e 0x82 0x62 0x60 0xcb 0xf,-126,-8.5
29-01-2025 17:57:52,0xe9 0x2d 0xee 0xf4 0x26 0x14 0xb0 0xb8 0xf6 0x71 0x2a 0xab 0x75 0x27 0xfc 0x3f 0x11 0xef 0x48 0x76 0x6d,-127,-9.25
29-01-2025 17:57:52,0x5a 0xfa 0x1e 0x23 0xd4 0xc3 0x67 0x6f 0x21 0xa6 0xfd 0x7c 0xa2 0xf0 0x21 0x8a 0xc6 0xa2 0xd2 0x23 0x80,-123,1.5
29-01-2025 17:57:53,0x25 0x69 0x8f 0xb0 0x47 0x50 0xf4 0xfc 0xb2 0x35 0x6e 0xef 0x31 0x63 0xb0 0x7b 0x55 0x3d 0xe2 0x80 0xbe,-123,1.25
29-01-2025 17:57:57,0x5e 0xfe 0x1a 0x27 0xd0 0xc7 0x63 0x6b 0x25 0xa2 0xf9 0x78 0xa6 0xf4 0x2d 0x8e 0xc2 0xa1 0x4 0x2c 0x67,-120,4.0
29-01-2025 17:57:58,0xf7 0x17 0xf1 0xce 0x39 0x2e 0x8a 0x82 0xcc 0x4b 0x10 0x91 0x4f 0x1d 0xc2 0x29 0x2b 0xdc 0x4a 0x1 0x87,-119,4.0
29-01-2025 17:57:58,0x34 0x58 0xb0 0x81 0x76 0x61 0xc5 0xcd 0x83 0x4 0x5f 0xde 0x0 0x52 0x83 0x68 0x64 0x9a 0x6f 0xe8 0x1b,-125,-4.5
29-01-2025 17:57:59,0xab 0xeb 0xd 0x32 0xc5 0xd2 0x76 0x7e 0x30 0xb7 0xec 0x6d 0xb3 0xe1 0x3e 0xfd 0xd7 0x55 0xad 0x23 0xc8,-126,-4.5
29-01-2025 17:58:03,0x9a 0x3a 0xde 0xe3 0x14 0x3 0xa7 0xaf 0xe1 0x66 0x3d 0xbc 0x62 0x30 0xe1 0xca 0x6 0x4f 0x47 0x82 0x46,-126,-8.0
29-01-2025 17:58:04,0x61 0xa5 0x43 0x7c 0x8b 0x9c 0x38 0x30 0x7e 0xf9 0xa2 0x23 0xfd 0xaf 0x74 0xb7 0x99 0xef 0x22 0xc8 0x9d,-126,-7.75
29-01-2025 17:58:16,0x3e 0x5e 0xba 0x87 0x70 0x67 0xc3 0xcb 0x85 0x2 0x59 0xd8 0x6 0x54 0x8d 0x6e 0x62 0xb2 0xdd 0x55 0x82,-126,-7.25
29-01-2025 17:58:34,0xcc 0x10 0xe8 0xc9 0x3e 0x29 0x8d 0x85 0xcb 0x4c 0x17 0x96 0x48 0x1a 0xdb 0x20 0x2c 0x7a 0x60 0xd3 0xef,-119,3.75
29-01-2025 17:58:34,0xed 0x31 0xd7 0xe8 0x1f 0x8 0xac 0xa4 0xea 0x6d 0x36 0xb7 0x69 0x3b 0xf8 0xc3 0xd 0x85 0x62 0xf9 0xb,-118,4.5
29-01-2025 17:58:38,0x2f 0x6f 0x80 0xb6 0x61 0x56 0xf2 0xfa 0xb4 0x33 0x68 0xe9 0x37 0x65 0xba 0x1 0x53 0xb4 0x91 0xe9 0x37,-124,-1.75
29-01-2025 17:58:38,0x1a 0xba 0x55 0x63 0xb4 0x83 0x27 0x2f 0x61 0xe6 0xbd 0x3c 0xe2 0xb0 0x61 0x4a 0x86 0xf2 0x5c 0x21 0x5e,-124,-1.75
29-01-2025 17:58:50,0xbc 0xe0 0x38 0x39 0xce 0xd9 0x7d 0x75 0x3b 0xbc 0xe7 0x66 0xb8 0xea 0xb 0xf0 0xdc 0xdc 0x9e 0x32 0x6b,-117,5.5
29-01-2025 17:58:50,0x5c 0x80 0x18 0x59 0xae 0xb9 0x1d 0x15 0x5b 0xdc 0x87 0x6 0xd8 0x8a 0x2b 0x90 0xbc 0xbf 0xaa 0xb7 0xaa,-118,4.75
29-01-2025 17:58:52,0x5f 0xff 0x19 0x26 0xd1 0xc6 0x62 0x6a 0x24 0xa3 0xf8 0x79 0xa7 0xf5 0x2a 0x91 0xc3 0x1a 0x60 0x95 0x18,-123,-0.25
29-01-2025 17:58:52,0x31 0x55 0xb3 0x8c 0x7b 0x6c 0xc8 0xc0 0x8e 0x9 0x52 0xd3 0xd 0x5f 0x84 0x67 0x69 0x95 0xab 0x89 0x61,-121,2.0
29-01-2025 17:58:53,0x34 0x58 0x53 0x81 0x9d 0x61 0xc5 0xcd 0x83 0x4 0x5f 0xde 0x0 0x52 0x83 0x68 0x64 0x5 0xbd 0x76 0x46,-126,-6.0
29-01-2025 17:58:58,0xcc 0x10 0xef 0xc9 0x5e 0x29 0x8d 0x85 0xcb 0x4c 0x17 0x96 0x48 0x1a 0xdb 0x20 0x2c 0x85 0x86 0xff 0xda,-125,-7.75
29-01-2025 17:58:58,0xae 0xee 0xa 0x37 0xc0 0xd7 0x73 0x7b 0x35 0xb2 0xe9 0x68 0xb6 0xe4 0x3d 0xfe 0xd2 0x74 0x74 0x8 0x2,-127,-8.0
29-01-2025 17:58:59,0xbc 0xe0 0x38 0x39 0xce 0xd9 0x7d 0x75 0x3b 0xbc 0xe7 0x66 0xb8 0xea 0xb 0xf0 0xdc 0xdc 0x9e 0x32 0x6b,-121,1.75
29-01-2025 17:59:00,0xa2 0xe2 0x6 0x3b 0xcc 0xdb 0x7f 0x77 0x39 0xbe 0xe5 0x64 0xba 0xe8 0x9 0xf2 0xde 0xce 0xbc 0x7c 0x33,-121,2.25
29-01-2025 17:59:02,0x1a 0xba 0x72 0x63 0x82 0x83 0x27 0x2f 0x61 0xe6 0xbd 0x3c 0xe2 0xb0 0x61 0x4a 0x86 0xc9 0xbe 0x50 0xe6,-123,-0.5
29-01-2025 17:59:02,0xb 0x4b 0x41 0x92 0x93 0x72 0xd6 0xde 0x90 0x17 0x4c 0xcd 0x13 0x41 0x9e 0x5d 0x77 0xec 0x98 0xe8 0xa2,-123,-0.5
29-01-2025 17:59:02,0x75 0x99 0x7f 0x40 0xb7 0xa0 0x4 0xc 0x42 0xc5 0x9e 0x1f 0xc1 0x93 0x40 0xab 0xa5 0xed 0x2 0x22 0x5f,-119,4.25
29-01-2025 17:59:03,0xda 0x7a 0x9e 0xa3 0x54 0x43 0xe7 0xef 0xa1 0x26 0x7d 0xfc 0x22 0x70 0xa1 0xa 0x46 0x36 0x90 0x27 0x8d,-120,3.5
29-01-2025 17:59:03,0x35 0x59 0xbf 0x80 0x77 0x60 0xc4 0xcc 0x82 0x5 0x5e 0xdf 0x1 0x53 0x80 0x6b 0x65 0xb9 0xd6 0xb2 0x4c,-122,1.75
29-01-2025 17:59:03,0x93 0x33 0xd5 0xea 0x1d 0xa 0xae 0xa6 0xe8 0x6f 0x34 0xb5 0x6b 0x39 0xe6 0xc5 0xf 0x97 0x14 0xe2 0x7d,-125,-7.5
29-01-2025 17:59:04,0x34 0x58 0xb0 0x81 0x76 0x61 0xc5 0xcd 0x83 0x4 0x5f 0xde 0x0 0x52 0x83 0x68 0x64 0x9a 0x6f 0xe8 0x1b,-127,-8.25
29-01-2025 17:59:04,0x99 0x3d 0xdb 0xe4 0x13 0x4 0xa0 0xa8 0xe6 0x61 0x3a 0xbb 0x65 0x37 0xec 0xcf 0x1 0xc1 0x3f 0x91 0xb7,-122,2.75
29-01-2025 17:59:06,0x23 0x63 0x59 0xba 0x7b 0x5a 0xfe 0xf6 0xb8 0x3f 0x64 0xe5 0x3b 0x69 0xb6 0x75 0x5f 0xb1 0x59 0x1c 0x6a,-123,1.0
29-01-2025 17:59:07,0x41 0x85 0x7 0x5c 0xd9 0xbc 0x18 0x10 0x5e 0xd9 0x82 0x3 0xdd 0x8f 0x54 0x97 0xb9 0x2a 0x23 0x68 0x64,-123,0.5
29-01-2025 17:59:08,0x39 0x5d 0xbb 0x84 0x73 0x64 0xc0 0xc8 0x86 0x1 0x5a 0xdb 0x5 0x57 0x8c 0x6f 0x61 0x8f 0x74 0x95 0x42,-126,-7.75
29-01-2025 17:59:08,0x25 0x69 0x8f 0xb0 0x47 0x50 0xf4 0xfc 0xb2 0x35 0x6e 0xef 0x31 0x63 0xb0 0x7b 0x55 0x3d 0xe2 0x80 0xbe,-125,-8.0
29-01-2025 17:59:10,0x1b 0xbb 0x5d 0x62 0x95 0x82 0x26 0x2e 0x60 0xe7 0xbc 0x3d 0xe3 0xb1 0x6e 0x4d 0x87 0xe3 0x65 0xcb 0x14,-119,4.25
29-01-2025 17:59:10,0x1c 0x40 0x58 0x99 0x6e 0x79 0xdd 0xd5 0x9b 0x1c 0x47 0xc6 0x18 0x4a 0x6b 0x50 0x7c 0xef 0xf7 0xc9 0xc2,-119,4.25
29-01-2025 17:59:12,0xb8 0xdc 0x3c 0x5 0xf2 0xe5 0x41 0x49 0x7 0x80 0xdb 0x5a 0x84 0xd6 0xf 0xec 0xe0 0xd9 0x34 0x1d 0xb,-121,3.0
29-01-2025 17:59:12,0x2 0x42 0x7a 0x9b 0x9a 0x7b 0xdf 0xd7 0x99 0x1e 0x45 0xc4 0x1a 0x48 0x69 0x52 0x7e 0x36 0xec 0x80 0x8d,-124,-0.5
29-01-2025 17:59:12,0x44 0x88 0x60 0x51 0xa6 0xb1 0x15 0x1d 0x53 0xd4 0x8f 0xe 0xd0 0x82 0x53 0x98 0xb4 0x24 0x14 0x6c 0x7e,-121,2.75
29-01-2025 17:59:13,0x9 0x4d 0x4f 0x94 0x91 0x74 0xd0 0xd8 0x96 0x11 0x4a 0xcb 0x15 0x47 0x9c 0x5f 0x71 0x53 0xab 0xbe 0xb,-123,-0.5
29-01-2025 17:59:16,0x7c 0xa0 0x1c 0x79 0xbc 0x99 0x3d 0x35 0x7b 0xfc 0xa7 0x26 0xf8 0xaa 0x4b 0xb0 0x9c 0xa8 0xbf 0xf7 0x40,-123,-0.5
29-01-2025 17:59:17,0x6e 0xae 0x6e 0x77 0x8e 0x97 0x33 0x3b 0x75 0xf2 0xa9 0x28 0xf6 0xa4 0x7d 0xbe 0x92 0x33 0x22 0xb2 0x76,-123,-0.5
29-01-2025 17:59:17,0xab 0xeb 0xd 0x32 0xc5 0xd2 0x76 0x7e 0x30 0xb7 0xec 0x6d 0xb3 0xe1 0x3e 0xfd 0xd7 0x55 0xad 0x23 0xc8,-122,1.25
29-01-2025 17:59:19,0x3d 0x61 0x87 0xb8 0x4f 0x58 0xfc 0xf4 0xba 0x3d 0x66 0xe7 0x39 0x6b 0x88 0x73 0x5d 0xb2 0xc8 0xde 0xb,-121,1.75
29-01-2025 17:59:19,0xcd 0x11 0x8a 0xc8 0x42 0x28 0x8c 0x84 0xca 0x4d 0x16 0x97 0x49 0x1b 0xd8 0x23 0x2d 0x34 0x74 0x8f 0xf9,-126,-7.5
29-01-2025 17:59:19,0x56 0xf6 0x31 0x2f 0xf6 0xcf 0x6b 0x63 0x2d 0xaa 0xf1 0x70 0xae 0xfc 0x25 0x86 0xca 0x6b 0xca 0xa7 0x5b,-123,1.25
29-01-2025 17:59:20,0x2 0x42 0x45 0x9b 0x8a 0x7b 0xdf 0xd7 0x99 0x1e 0x45 0xc4 0x1a 0x48 0x69 0x52 0x7e 0x8a 0xb7 0xa4 0x30,-122,1.25
29-01-2025 17:59:22,0xfa 0x1a 0xfe 0xc3 0x34 0x23 0x87 0x8f 0xc1 0x46 0x1d 0x9c 0x42 0x10 0xc1 0x2a 0x26 0x3a 0x2f 0xe 0x3c,-122,1.0
29-01-2025 17:59:23,0x13 0xb3 0x55 0x6a 0x9d 0x8a 0x2e 0x26 0x68 0xef 0xb4 0x35 0xeb 0xb9 0x66 0x45 0x8f 0xd9 0x8d 0x8c 0x5,-122,2.0
29-01-2025 17:59:24,0x9e 0x3e 0xf9 0xe7 0xe 0x7 0xa3 0xab 0xe5 0x62 0x39 0xb8 0x66 0x34 0xed 0xce 0x2 0x33 0x1b 0xbb 0xd4,-122,0.5
