Time,Packet (Hexadecimal),RSSI,SNR
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:28,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:29,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:30,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:31,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:32,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:33,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:34,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:35,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:36,0xf6 0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b,-164,15.5
29-01-2025 15:50:37,0x4e 0x38 0x85 0x9b 0x2a 0x14 0x40 0xf 0xcd 0x5b 0x61 0x44 0x5c 0x5e 0x41 0x14 0x87 0x27 0x95 0xd4 0x7b 0xa8 0xf 0x5a 0xca 0xed 0x79 0xd7 0x53 0x6f 0xc2 0xd0 0x77 0x62 0x3e 0x98 0xe4 0x5a 0x44 0x38 0x1c 0x6b 0xd0 0x43 0x1d 0x25 0x6e 0xa8 0x94 0x14 0xfc 0x5b 0x89 0x11 0x37 0xbc 0x1f 0xe1 0xf9 0x49 0xd1 0xe8 0x29 0x52 0x2b 0x53 0x8 0xa1 0x89 0x6c 0xa0 0x57 0xe 0x7e 0xbc 0xd7 0xf 0xd6 0x7a 0x45 0x3 0x54 0xca 0x22 0xb 0x0 0x7f 0x29 0x5f 0xe4 0x31 0x47 0xa8 0xb6 0x47 0xd5 0x1a,-164,24.25
29-01-2025 15:51:07,0x9 0x78 0x6 0x9a 0x5f 0x5e 0xd1 0xe2 0xed,-155,0.0
